Name,Account Name,Amount,Probability,CloseDate,Description
Partner EU 1016311,Partner EU 1016311,208182.22,100,2024-02-29,SF-Opp: 0062000000H4oBIAAZ | Partner-EU: 1016311 | Region: EU
Partner EU 111448977,Partner EU 111448977,2468.83,100,2023-12-31,SF-Opp: 0062000000j5MAXAA2 | Partner-EU: 111448977 | Region: EU
Partner EU 111629852,Partner EU 111629852,7714799.09,100,2024-02-29,SF-Opp: 0062000000j5yGaAAI | Partner-EU: 111629852 | Region: EU
Partner EU 112066957,Partner EU 112066957,3819.62,100,2024-02-29,SF-Opp: 0062000000jXmeYAAS | Partner-EU: 112066957 | Region: EU
Partner EU 112400039,Partner EU 112400039,514743.36,100,2024-02-29,SF-Opp: 0062000000lZd7oAAC | Partner-EU: 112400039 | Region: EU
Partner EU 112436426,Partner EU 112436426,131444.15,100,2024-02-29,SF-Opp: 0060J00000mtgDeQAI | Partner-EU: 112436426 | Region: EU
Partner EU 1168619,Partner EU 1168619,85195.67,100,2024-02-29,SF-Opp: 0062000000H4o10AAB | Partner-EU: 1168619 | Region: EU
Partner EU 1205654,Partner EU 1205654,2776.15,100,2023-05-31,SF-Opp: 0062000000H4oCQAAZ | Partner-EU: 1205654 | Region: EU
Partner EU 1210226,Partner EU 1210226,24650.86,100,2024-02-29,SF-Opp: 0062000000H4oJKAAZ | Partner-EU: 1210226 | Region: EU
Partner EU 1409603,Partner EU 1409603,10117.11,100,2024-02-29,SF-Opp: 0062000000H4oBRAAZ | Partner-EU: 1409603 | Region: EU
Partner EU 1474886,Partner EU 1474886,12094.67,100,2024-02-29,SF-Opp: 0062000000H4o4eAAB | Partner-EU: 1474886 | Region: EU
Partner EU 1490478,Partner EU 1490478,7143.61,100,2024-02-29,SF-Opp: 0062000000H4oFHAAZ | Partner-EU: 1490478 | Region: EU
Partner EU 149141,Partner EU 149141,14682.47,100,2023-12-31,SF-Opp: 0062000000H4oGAAAZ | Partner-EU: 149141 | Region: EU
Partner EU 1519501,Partner EU 1519501,49492.72,100,2023-09-30,SF-Opp: 0062000000H4o6fAAB | Partner-EU: 1519501 | Region: EU
Partner EU 162276,Partner EU 162276,8352.84,100,2023-09-30,SF-Opp: 0062000000H4o0OAAR | Partner-EU: 162276 | Region: EU
Partner EU 1689745,Partner EU 1689745,240934.96,100,2024-02-29,SF-Opp: 0062000000H4oFvAAJ | Partner-EU: 1689745 | Region: EU
Partner EU 1751551,Partner EU 1751551,219818.70,100,2023-06-30,SF-Opp: 0062000000H4oBrAAJ | Partner-EU: 1751551 | Region: EU
Partner EU 1800238,Partner EU 1800238,168268.54,100,2024-02-29,SF-Opp: 0062000000H4oGEAAZ | Partner-EU: 1800238 | Region: EU
Partner EU 1828297,Partner EU 1828297,548910.09,100,2024-02-29,SF-Opp: 0062000000kOGPvAAO | Partner-EU: 1828297 | Region: EU
Partner EU 1853315,Partner EU 1853315,19812.28,100,2024-02-29,SF-Opp: 0062000000H4oHjAAJ | Partner-EU: 1853315 | Region: EU
Partner EU 1943497,Partner EU 1943497,424661.58,100,2023-12-31,SF-Opp: 0062000000IbCfJAAV | Partner-EU: 1943497 | Region: EU
Partner EU 199996,Partner EU 199996,7864.17,100,2023-12-31,SF-Opp: 0062000000HieF9AAJ | Partner-EU: 199996 | Region: EU
Partner EU 204856,Partner EU 204856,6490.03,100,2024-02-29,SF-Opp: 0062000000H4o02AAB | Partner-EU: 204856 | Region: EU
Partner EU 2105644,Partner EU 2105644,51744.35,100,2024-02-29,SF-Opp: 0062000000LB0nqAAD | Partner-EU: 2105644 | Partner-NA: 1201682 | Region: EU+NA
Partner EU 2117448,Partner EU 2117448,34582.44,100,2023-12-31,SF-Opp: 0062000000H4o9kAAB | Partner-EU: 2117448 | Region: EU
Partner EU 2128038,Partner EU 2128038,34665.79,100,2024-02-29,SF-Opp: 0062000000Qu8wIAAR | Partner-EU: 2128038 | Region: EU
Partner EU 2134897,Partner EU 2134897,30731.24,100,2023-09-30,SF-Opp: 0062000000cx5ldAAA | Partner-EU: 2134897 | Partner-NA: 770398 | Region: EU+NA
Partner SF 00620000,Partner SF 00620000,279616.07,100,2024-02-29,SF-Opp: 0062000000H4oATAAZ | Region: NA
Partner EU 2241075,Partner EU 2241075,221069.52,100,2023-12-31,SF-Opp: 0062000000H4oBfAAJ | Partner-EU: 2241075 | Region: EU
Partner EU 2286205,Partner EU 2286205,46093.26,100,2023-12-31,SF-Opp: 0062000000H4oBWAAZ | Partner-EU: 2286205 | Region: EU
Partner EU 230296,Partner EU 230296,22511.61,100,2024-02-29,SF-Opp: 0062000000H4o2SAAR | Partner-EU: 230296 | Region: EU
Partner EU 2421351,Partner EU 2421351,2785.52,100,2023-09-30,SF-Opp: 0062000000H4oERAAZ | Partner-EU: 2421351 | Region: EU
Partner EU 2426667,Partner EU 2426667,534773.76,100,2024-02-29,SF-Opp: 0062000000WKev1AAD | Partner-EU: 2426667 | Region: EU
Partner EU 2513874,Partner EU 2513874,9946.50,100,2024-02-29,SF-Opp: 0062000000eqG9YAAU | Partner-EU: 2513874 | Region: EU
Partner EU 2517734,Partner EU 2517734,8288.66,100,2024-02-29,SF-Opp: 0062000000HjXj0AAF | Partner-EU: 2517734 | Region: EU
Partner EU 2584096,Partner EU 2584096,978020.74,100,2024-02-29,SF-Opp: 0062000000H4oJRAAZ | Partner-EU: 2584096 | Region: EU
Partner EU 264158,Partner EU 264158,5447.12,100,2024-02-29,SF-Opp: 0062000000H4o17AAB | Partner-EU: 264158 | Region: EU
Partner EU 2738804,Partner EU 2738804,44171.30,100,2024-02-29,SF-Opp: 0062000000H4oGmAAJ | Partner-EU: 2738804 | Region: EU
Partner EU 2752202,Partner EU 2752202,52564.56,100,2024-02-29,SF-Opp: 0062000000H4oKmAAJ | Partner-EU: 2752202 | Region: EU
Partner EU 2788547,Partner EU 2788547,6905.53,100,2024-02-29,SF-Opp: 0062000000H4oKtAAJ | Partner-EU: 2788547 | Region: EU
Partner EU 2866244,Partner EU 2866244,9280.46,100,2023-12-31,SF-Opp: 0062000000KFLJjAAP | Partner-EU: 2866244 | Region: EU
Partner NA 1124524,Partner NA 1124524,25528.16,100,2023-12-31,SF-Opp: 0062000000fFVLzAAO | Partner-NA: 1124524 | Region: NA
Partner EU 2930607,Partner EU 2930607,130997.87,100,2023-09-30,SF-Opp: 0062000000H4oLFAAZ | Partner-EU: 2930607 | Partner-NA: 2765086 | Region: EU+NA
Partner EU 2944439,Partner EU 2944439,35159.38,100,2024-02-29,SF-Opp: 0062000000H4oKDAAZ | Partner-EU: 2944439 | Region: EU
Partner EU 3068373,Partner EU 3068373,25917.74,100,2023-09-30,SF-Opp: 0062000000LCsZlAAL | Partner-EU: 3068373 | Partner-NA: 1858267 | Region: EU+NA
Partner EU 3187834,Partner EU 3187834,26619.93,100,2024-02-29,SF-Opp: 0062000000HjhwmAAB | Partner-EU: 3187834 | Region: EU
Partner EU 3346198,Partner EU 3346198,152833.23,100,2024-02-29,SF-Opp: 0062000000VgyRGAAZ | Partner-EU: 3346198 | Partner-NA: 1237639 | Region: EU+NA
Partner EU 3392922,Partner EU 3392922,28507.48,100,2024-02-29,SF-Opp: 0062000000JROtvAAH | Partner-EU: 3392922 | Region: EU
Partner SF 00620000,Partner SF 00620000,41900.21,100,2024-02-29,SF-Opp: 0062000000LBM81AAH | Region: NA
Partner EU 355278,Partner EU 355278,4986.35,100,2024-02-29,SF-Opp: 0062000000H4nzuAAB | Partner-EU: 355278 | Region: EU
Partner SF 00620000,Partner SF 00620000,25741.72,100,2024-02-29,SF-Opp: 0062000000Id2zOAAR | Region: NA
Partner EU 3615667,Partner EU 3615667,14924.21,100,2023-12-31,SF-Opp: 0062000000IeIyWAAV | Partner-EU: 3615667 | Region: EU
Partner EU 3643598,Partner EU 3643598,3856.68,100,2023-12-31,SF-Opp: 0062000000IeF2lAAF | Partner-EU: 3643598 | Partner-NA: 1473649 | Region: EU+NA
Partner SF 00620000,Partner SF 00620000,3347.15,100,2023-12-31,SF-Opp: 0062000000JT03sAAD | Region: NA
Partner EU 3695708,Partner EU 3695708,21048.69,100,2024-02-29,SF-Opp: 0062000000PQHkIAAX | Partner-EU: 3695708 | Region: EU
Partner EU 3769293,Partner EU 3769293,107971.76,100,2024-02-29,SF-Opp: 0062000000QQi97AAD | Partner-EU: 3769293 | Region: EU
Partner SF 00620000,Partner SF 00620000,2039.04,100,2023-12-31,SF-Opp: 0062000000KFPr2AAH | Region: NA
Partner EU 3859849,Partner EU 3859849,117805.22,100,2024-02-29,SF-Opp: 0062000000NGOWoAAP | Partner-EU: 3859849 | Region: EU
Partner SF 00620000,Partner SF 00620000,5762228.45,100,2024-02-29,SF-Opp: 0062000000ONSSDAA5 | Region: NA
Partner EU 3863248,Partner EU 3863248,2365.24,100,2023-12-31,SF-Opp: 0062000000KGO2eAAH | Partner-EU: 3863248 | Region: EU
Partner EU 4043504,Partner EU 4043504,20882.05,100,2024-02-29,SF-Opp: 0062000000KHJoKAAX | Partner-EU: 4043504 | Partner-NA: 2222782 | Region: EU+NA
Partner EU 4048514,Partner EU 4048514,121622.56,100,2024-02-29,SF-Opp: 0062000000UsvCdAAJ | Partner-EU: 4048514 | Partner-NA: 5367559 | Region: EU+NA
Partner EU 413936,Partner EU 413936,85199.60,100,2024-02-29,SF-Opp: 0062000000H4oJIAAZ | Partner-EU: 413936 | Region: EU
Partner SF 00620000,Partner SF 00620000,17929.86,100,2024-02-29,SF-Opp: 0062000000MZcgKAAT | Region: NA
Partner EU 41985,Partner EU 41985,954720.04,100,2024-02-29,SF-Opp: 0062000000H4o47AAB | Partner-EU: 41985 | Region: EU
Blackscarfafc,Blackscarfafc,10909.59,100,2023-12-31,SF-Opp: 0062000000UqIrtAAF | Partner-EU: 4234327 | Region: EU
Partner EU 4242865,Partner EU 4242865,506755.47,100,2024-02-29,SF-Opp: 0062000000MSld8AAD | Partner-EU: 4242865 | Partner-NA: 2567391 | Region: EU+NA
Partner EU 4257051,Partner EU 4257051,10550.17,100,2023-12-31,SF-Opp: 0062000000M2p3yAAB | Partner-EU: 4257051 | Region: EU
Partner EU 4390429,Partner EU 4390429,264905.61,100,2023-09-30,SF-Opp: 0062000000NG9bZAAT | Partner-EU: 4390429 | Partner-NA: 1508984 | Region: EU+NA
Partner NA 5358,Partner NA 5358,74282.41,100,2024-02-29,SF-Opp: 0062000000H4o6SAAR | Partner-NA: 5358 | Region: NA
Partner NA 2212856,Partner NA 2212856,115477.57,100,2023-12-31,SF-Opp: 0062000000NK7XZAA1 | Partner-NA: 2212856 | Region: NA
Partner EU 4803586,Partner EU 4803586,11244.94,100,2024-02-29,SF-Opp: 0062000000Vh1tBAAR | Partner-EU: 4803586 | Region: EU
Partner EU 4963223,Partner EU 4963223,5655.06,100,2023-09-30,SF-Opp: 0062000000Tw7brAAB | Partner-EU: 4963223 | Region: EU
Partner EU 4995581,Partner EU 4995581,18430.88,100,2024-02-29,SF-Opp: 0062000000M3LD0AAN | Partner-EU: 4995581 | Partner-NA: 2457363 | Region: EU+NA
Partner EU 5075169,Partner EU 5075169,2700.94,100,2024-02-29,SF-Opp: 0062000000QOIYhAAP | Partner-EU: 5075169 | Partner-NA: 2491433 | Region: EU+NA
Partner EU 5234434,Partner EU 5234434,8610.21,100,2023-12-31,SF-Opp: 0062000000QPWW0AAP | Partner-EU: 5234434 | Region: EU
Partner EU 5324411,Partner EU 5324411,8641.78,100,2024-02-29,SF-Opp: 0062000000S1qBeAAJ | Partner-EU: 5324411 | Region: EU
Partner EU 5365937,Partner EU 5365937,3174.22,100,2023-12-31,SF-Opp: 0062000000QPuXWAA1 | Partner-EU: 5365937 | Region: EU
Nueva Films,Nueva Films,7226.79,100,2023-12-31,SF-Opp: 0062000000WNDPAAA5 | Partner-EU: 5554519 | Partner-NA: 4067124 | Region: EU+NA
Partner EU 569505,Partner EU 569505,50256.83,100,2024-02-29,SF-Opp: 0062000000KE9NaAAL | Partner-EU: 569505 | Partner-NA: 302486 | Region: EU+NA
Partner EU 5716224,Partner EU 5716224,7391.74,100,2024-02-29,SF-Opp: 0062000000Ur1yAAAR | Partner-EU: 5716224 | Region: EU
Partner EU 5806515,Partner EU 5806515,39669.12,100,2024-02-29,SF-Opp: 0062000000Su5xDAAR | Partner-EU: 5806515 | Partner-NA: 3047236 | Region: EU+NA
Partner EU 58892,Partner EU 58892,25436.06,100,2023-12-31,SF-Opp: 0062000000H4o79AAB | Partner-EU: 58892 | Region: EU
Partner EU 5995801,Partner EU 5995801,202094.10,100,2024-02-29,SF-Opp: 0062000000TuhuvAAB | Partner-EU: 5995801 | Partner-NA: 1562964 | Region: EU+NA
Partner EU 607247,Partner EU 607247,35362.17,100,2023-12-31,SF-Opp: 0062000000H4oE8AAJ | Partner-EU: 607247 | Partner-NA: 298462 | Region: EU+NA
Partner EU 610256,Partner EU 610256,40433.91,100,2023-12-31,SF-Opp: 0062000000HkPakAAF | Partner-EU: 610256 | Region: EU
Partner EU 618065,Partner EU 618065,68814.56,100,2024-02-29,SF-Opp: 0062000000H4oFUAAZ | Partner-EU: 618065 | Region: EU
Partner EU 6221287,Partner EU 6221287,130900.37,100,2024-02-29,SF-Opp: 0062000000Ur3OlAAJ | Partner-EU: 6221287 | Region: EU
Partner EU 6306361,Partner EU 6306361,22683.71,100,2024-02-29,SF-Opp: 0062000000Vh0HTAAZ | Partner-EU: 6306361 | Region: EU
Partner EU 6805618,Partner EU 6805618,19245.68,100,2024-02-29,SF-Opp: 0062000000WLLBNAA5 | Partner-EU: 6805618 | Region: EU
VenturianTale,VenturianTale,32813.20,100,2023-06-30,SF-Opp: 0062000000WOV4KAAX | Partner-EU: 7099633 | Partner-NA: 3961271 | Region: EU+NA
Partner EU 7159671,Partner EU 7159671,49555.75,100,2023-04-30,SF-Opp: 0062000000XGCInAAP | Partner-EU: 7159671 | Partner-NA: 4264609 | Region: EU+NA
Partner EU 730507,Partner EU 730507,95950.59,100,2024-02-29,SF-Opp: 0062000000HkPSCAA3 | Partner-EU: 730507 | Region: EU
Partner EU 7669575,Partner EU 7669575,118197.46,100,2023-12-31,SF-Opp: 0062000000j5P8VAAU | Partner-EU: 7669575 | Region: EU
Partner NA 307992,Partner NA 307992,960012.10,100,2024-02-29,SF-Opp: 0062000000H4o1nAAB | Partner-NA: 307992 | Region: NA
Partner EU 8121038,Partner EU 8121038,6032.63,100,2023-09-30,SF-Opp: 0062000000aaqttAAA | Partner-EU: 8121038 | Region: EU
