Name,Account Name,Amount,Probability,CloseDate,Description
Partner EU 827294,Partner EU 827294,24059.23,100,2024-02-29,SF-Opp: 0062000000H4oDuAAJ | Partner-EU: 827294 | Region: EU
Karen Addison Associates / Thelwell,Karen Addison Associates / Thelwell,12402.76,100,2024-02-29,SF-Opp: 0062000000aAsE5AAK | Partner-EU: 8315424 | Partner-NA: 5287531 | Region: EU+NA
Janosch film & medien AG,Janosch film & medien AG,42537.81,100,2023-12-31,SF-Opp: 0062000000cAfa9AAC | Partner-EU: 8443384 | Region: EU
Totally Awesome Fishing,Totally Awesome Fishing,11523.23,100,2024-02-29,SF-Opp: 0062000000dSt4XAAS | Partner-NA: 5456856 | Region: NA
Partner EU 8552367,Partner EU 8552367,303698.98,100,2024-02-29,SF-Opp: 0062000000lDW6UAAW | Partner-EU: 8552367 | Partner-NA: 301757385 | Region: EU+NA
Threema,Threema,33237.14,100,2024-02-29,SF-Opp: 0062000000g1kguAAA | Partner-EU: 8556362 | Region: EU
Partner EU 865287,Partner EU 865287,4629.01,100,2023-09-30,SF-Opp: 0062000000H4o3IAAR | Partner-EU: 865287 | Region: EU
Partner EU 870148,Partner EU 870148,120919.73,100,2024-02-29,SF-Opp: 0062000000IcsMWAAZ | Partner-EU: 870148 | Partner-NA: 303082 | Region: EU+NA
Partner EU 909007,Partner EU 909007,126225.69,100,2024-02-29,SF-Opp: 0062000000H4o57AAB | Partner-EU: 909007 | Partner-NA: 311841 | Region: EU+NA
Partner EU 952523,Partner EU 952523,1348.23,100,2023-04-30,SF-Opp: 0062000000H4o5iAAB | Partner-EU: 952523 | Region: EU
Partner EU 968121,Partner EU 968121,2260.94,100,2023-12-31,SF-Opp: 0062000000H4o4vAAB | Partner-EU: 968121 | Region: EU
Partner EU 114218675,Partner EU 114218675,1878.44,100,2023-12-31,SF-Opp: 0060J00000pXq6QQAS | Partner-EU: 114218675 | Region: EU
Partner EU 114551458,Partner EU 114551458,39469.43,100,2024-02-29,SF-Opp: 0060J00000qZ1qsQAC | Partner-EU: 114551458 | Region: EU
Partner EU 1081163,Partner EU 1081163,39926.92,100,2024-02-29,SF-Opp: 0062000000H4nzTAAR | Partner-EU: 1081163 | Region: EU
Partner EU 112360333,Partner EU 112360333,4544.27,100,2024-02-29,SF-Opp: 0062000000kNt8uAAC | Partner-EU: 112360333 | Region: EU
Partner EU 149826,Partner EU 149826,3683.80,100,2024-02-29,SF-Opp: 0062000000H4nzHAAR | Partner-EU: 149826 | Region: EU
Partner EU 17343,Partner EU 17343,17001.93,100,2024-02-29,SF-Opp: 0062000000H4o1sAAB | Partner-EU: 17343 | Region: EU
Partner EU 1745484,Partner EU 1745484,10408.83,100,2023-12-31,SF-Opp: 0062000000lZGTNAA4 | Partner-EU: 1745484 | Region: EU
Partner SF 00620000,Partner SF 00620000,5665.47,100,2023-12-31,SF-Opp: 0062000000H4oHAAAZ | Region: NA
Partner EU 2492846,Partner EU 2492846,8446.58,100,2024-02-29,SF-Opp: 0062000000H4oMEAAZ | Partner-EU: 2492846 | Region: EU
Partner EU 2754606,Partner EU 2754606,2070.88,100,2023-09-30,SF-Opp: 0062000000H4oHlAAJ | Partner-EU: 2754606 | Region: EU
Partner EU 3184022,Partner EU 3184022,2705.93,100,2023-12-31,SF-Opp: 0062000000H4oMiAAJ | Partner-EU: 3184022 | Region: EU
Partner EU 3271296,Partner EU 3271296,2382.69,100,2024-02-29,SF-Opp: 0062000000H4oN8AAJ | Partner-EU: 3271296 | Region: EU
Partner EU 3399266,Partner EU 3399266,25195.44,100,2023-09-30,SF-Opp: 0062000000LCrxSAAT | Partner-EU: 3399266 | Partner-NA: 1451765 | Region: EU+NA
Partner EU 3619018,Partner EU 3619018,5517.70,100,2023-12-31,SF-Opp: 0062000000KHKI6AAP | Partner-EU: 3619018 | Region: EU
Partner EU 3748321,Partner EU 3748321,29984.03,100,2024-02-29,SF-Opp: 0062000000Qu3mpAAB | Partner-EU: 3748321 | Region: EU
Partner EU 3856872,Partner EU 3856872,5201.72,100,2023-12-31,SF-Opp: 0062000000KFvYiAAL | Partner-EU: 3856872 | Region: EU
Partner EU 4246043,Partner EU 4246043,2763.52,100,2023-12-31,SF-Opp: 0062000000MY36KAAT | Partner-EU: 4246043 | Region: EU
Partner EU 4341045,Partner EU 4341045,3618.98,100,2024-02-29,SF-Opp: 0062000000NJ9uJAAT | Partner-EU: 4341045 | Region: EU
Partner EU 4390908,Partner EU 4390908,89288.95,100,2024-02-29,SF-Opp: 0062000000NHTPIAA5 | Partner-EU: 4390908 | Region: EU
Partner EU 4460304,Partner EU 4460304,15275.51,100,2023-12-31,SF-Opp: 0062000000NJPDVAA5 | Partner-EU: 4460304 | Partner-NA: 2172129 | Region: EU+NA
Partner EU 4685935,Partner EU 4685935,2945.42,100,2023-12-31,SF-Opp: 0062000000XERpRAAX | Partner-EU: 4685935 | Partner-NA: 1434875 | Region: EU+NA
Partner EU 4767291,Partner EU 4767291,785899.04,100,2024-02-29,SF-Opp: 0062000000OO85JAAT | Partner-EU: 4767291 | Region: EU
Blackmill,Blackmill,6526.10,100,2023-09-30,SF-Opp: 0062000000SvdMiAAJ | Partner-EU: 5581642 | Region: EU
Partner EU 59525,Partner EU 59525,6150.99,100,2024-02-29,SF-Opp: 0062000000H4oIxAAJ | Partner-EU: 59525 | Region: EU
Partner EU 6733314,Partner EU 6733314,963.03,100,2023-12-31,SF-Opp: 0062000000WLFTvAAP | Partner-EU: 6733314 | Partner-NA: 3888619 | Region: EU+NA
Travian Games,Travian Games,6109.53,100,2024-02-29,SF-Opp: 0062000000eG8D6AAK | Partner-EU: 8553519 | Region: EU
STARPATROL Entertainment / Dodokay,STARPATROL Entertainment / Dodokay,1826.71,100,2024-02-29,SF-Opp: 0062000000cnRCIAA2 | Partner-EU: 112047824 | Region: EU
Partner EU 1476677,Partner EU 1476677,33920.63,100,2023-04-30,SF-Opp: 0062000000H4o9WAAR | Partner-EU: 1476677 | Region: EU
Partner EU 2480545,Partner EU 2480545,361.11,100,2023-09-30,SF-Opp: 0062000000H4oDdAAJ | Partner-EU: 2480545 | Region: EU
Partner EU 2584445,Partner EU 2584445,3952.20,100,2023-12-31,SF-Opp: 0062000000LApCKAA1 | Partner-EU: 2584445 | Region: EU
Partner EU 3530447,Partner EU 3530447,2956.78,100,2024-02-29,SF-Opp: 0062000000JRKOyAAP | Partner-EU: 3530447 | Region: EU
Partner EU 3660953,Partner EU 3660953,5749.98,100,2023-12-31,SF-Opp: 0062000000JRs1hAAD | Partner-EU: 3660953 | Region: EU
Partner EU 3859859,Partner EU 3859859,1094.41,100,2024-02-29,SF-Opp: 0062000000KFQ4WAAX | Partner-EU: 3859859 | Region: EU
Partner EU 533726,Partner EU 533726,7089.99,100,2024-02-29,SF-Opp: 0062000000H4o4NAAR | Partner-EU: 533726 | Region: EU
Kristoffer Clausen,Kristoffer Clausen,2178.46,100,2024-02-29,SF-Opp: 0062000000Tvb7kAAB | Partner-EU: 6006548 | Region: EU
Partner EU 615031,Partner EU 615031,3233.19,100,2023-04-30,SF-Opp: 0062000000H4oDcAAJ | Partner-EU: 615031 | Region: EU
Partner EU 8522415,Partner EU 8522415,117.79,100,2024-02-29,SF-Opp: 0062000000dRlEzAAK | Partner-EU: 8522415 | Region: EU
Partner EU 111667442,Partner EU 111667442,698.73,100,2023-12-31,SF-Opp: 0062000000iEva0AAC | Partner-EU: 111667442 | Region: EU
Partner EU 2736118,Partner EU 2736118,891.60,100,2023-06-30,SF-Opp: 0062000000H4oITAAZ | Partner-EU: 2736118 | Region: EU
Partner EU 2879495,Partner EU 2879495,753.11,100,2023-09-30,SF-Opp: 0062000000H4oIQAAZ | Partner-EU: 2879495 | Region: EU
Partner EU 3318288,Partner EU 3318288,2574.69,100,2023-06-30,SF-Opp: 0062000000H4oNVAAZ | Partner-EU: 3318288 | Region: EU
Partner EU 3798282,Partner EU 3798282,3044.03,100,2024-02-29,SF-Opp: 0062000000KF2PwAAL | Partner-EU: 3798282 | Region: EU
Partner EU 4368161,Partner EU 4368161,1029.44,100,2023-12-31,SF-Opp: 0062000000MZZznAAH | Partner-EU: 4368161 | Region: EU
Partner SF 00620000,Partner SF 00620000,502.84,100,2023-12-31,SF-Opp: 0062000000VgpRvAAJ | Region: NA
Partner EU 6287137,Partner EU 6287137,1834.10,100,2023-12-31,SF-Opp: 0062000000ioaLDAAY | Partner-EU: 6287137 | Region: EU
Partner EU 3547674,Partner EU 3547674,834.91,100,2023-12-31,SF-Opp: 0062000000HlOExAAN | Partner-EU: 3547674 | Region: EU
Partner EU 3654813,Partner EU 3654813,5650.70,100,2023-05-31,SF-Opp: 0062000000Ie2jZAAR | Partner-EU: 3654813 | Region: EU
Partner EU 935472,Partner EU 935472,1201.22,100,2023-09-30,SF-Opp: 0062000000KFkEgAAL | Partner-EU: 935472 | Region: EU
Partner EU 113824426,Partner EU 113824426,52622.63,100,2023-09-30,SF-Opp: 0060J00000pNXdzQAG | Partner-EU: 113824426 | Region: EU
Partner EU 114783773,Partner EU 114783773,132191.31,100,2024-02-29,SF-Opp: 0060J00000pNbpQQAS | Partner-EU: 114783773 | Partner-NA: 302865861 | Region: EU+NA
Partner EU 113013086,Partner EU 113013086,41687.07,100,2024-02-29,SF-Opp: 0060J00000s6dTLQAY | Partner-EU: 113013086 | Region: EU
Partner EU 8296862,Partner EU 8296862,124791.65,100,2024-02-29,SF-Opp: 0060J00000sWyZcQAK | Partner-EU: 8296862 | Region: EU
Partner SF 0060J000,Partner SF 0060J000,17875.82,100,2023-09-30,SF-Opp: 0060J00000rebuMQAQ | Region: NA
Partner EU 4638562,Partner EU 4638562,2079.97,100,2023-09-30,SF-Opp: 0062000000OLVC2AAP | Partner-EU: 4638562 | Region: EU
Partner SF 0060J000,Partner SF 0060J000,4730.74,100,2023-12-31,SF-Opp: 0060J00000qbLJXQA2 | Region: NA
Partner SF 0060J000,Partner SF 0060J000,108272.72,100,2024-02-29,SF-Opp: 0060J00000rDDjXQAW | Region: NA
Partner EU 114355883,Partner EU 114355883,42042.88,100,2024-02-29,SF-Opp: 0060J00000rEvgJQAS | Partner-EU: 114355883 | Region: EU
Partner EU 112666367,Partner EU 112666367,143193.00,100,2024-02-29,SF-Opp: 0060J00000vwAOfQAM | Partner-EU: 112666367 | Region: EU
Partner EU 114806078,Partner EU 114806078,41.11,100,2023-05-31,SF-Opp: 0060J00000qbQoxQAE | Partner-EU: 114806078 | Region: EU
Swemix Aktiebolag,Swemix Aktiebolag,5417.70,100,2023-12-31,SF-Opp: 0062000000VgsQBAAZ | Partner-EU: 6654113 | Region: EU
Partner EU 4867655,Partner EU 4867655,1457.28,100,2023-09-30,SF-Opp: 0062000000ONUisAAH | Partner-EU: 4867655 | Region: EU
Partner EU 115207109,Partner EU 115207109,936.60,100,2024-02-29,SF-Opp: 0060J00000pPKKcQAO | Partner-EU: 115207109 | Region: EU
Partner EU 115897297,Partner EU 115897297,84841.24,100,2023-12-31,SF-Opp: 0060J00000txGEpQAM | Partner-EU: 115897297 | Region: EU
Partner SF 00620000,Partner SF 00620000,457.23,100,2023-09-30,SF-Opp: 0062000000H4oDvAAJ | Region: NA
Partner SF 00620000,Partner SF 00620000,13850.12,100,2024-02-29,SF-Opp: 0062000000OMpbtAAD | Region: NA
Partner EU 7617529,Partner EU 7617529,1315.77,100,2023-09-30,SF-Opp: 0062000000WL87DAAT | Partner-EU: 7617529 | Partner-NA: 977947 | Region: EU+NA
Partner EU 116884843,Partner EU 116884843,2272.36,100,2023-04-30,SF-Opp: 0060J00000vdb9oQAA | Partner-EU: 116884843 | Region: EU
Partner EU 117226995,Partner EU 117226995,38750.78,100,2024-02-29,SF-Opp: 0060J00000wcBDMQA2 | Partner-EU: 117226995 | Region: EU
Partner SF 0060J000,Partner SF 0060J000,78092.17,100,2024-02-29,SF-Opp: 0060J00000wd11vQAA | Region: NA
Partner EU 114011202,Partner EU 114011202,36445.15,100,2024-02-29,SF-Opp: 0060J00000yFL37QAG | Partner-EU: 114011202 | Region: EU
Partner EU 8607458,Partner EU 8607458,204.86,100,2023-12-31,SF-Opp: 0062000000fJrCZAA0 | Partner-EU: 8607458 | Region: EU
Partner EU 8211553,Partner EU 8211553,12219.01,100,2023-12-31,SF-Opp: 0062000000WNgVLAA1 | Partner-EU: 8211553 | Partner-NA: 4104468 | Region: EU+NA
Partner EU 119268511,Partner EU 119268511,39829.71,100,2024-02-29,SF-Opp: 0060J00001181NPQAY | Partner-EU: 119268511 | Region: EU
Partner EU 3487743,Partner EU 3487743,31580.12,100,2024-02-29,SF-Opp: 0060J000011fbSlQAI | Partner-EU: 3487743 | Region: EU
Trikk17,Trikk17,1505.79,100,2024-02-29,SF-Opp: 0060J0000117fLJQAY | Partner-EU: 118276555 | Region: EU
Partner EU 113921538,Partner EU 113921538,32074.02,100,2024-02-29,SF-Opp: 0060J00000odTLOQA2 | Partner-EU: 113921538 | Region: EU
Partner EU 3057684,Partner EU 3057684,345.81,100,2023-12-31,SF-Opp: 0062000000H4oNLAAZ | Partner-EU: 3057684 | Region: EU
Partner EU 116066848,Partner EU 116066848,86543.81,100,2024-02-29,SF-Opp: 0066M000011iNv4QAE | Partner-EU: 116066848 | Region: EU
Partner EU 113821813,Partner EU 113821813,331.15,100,2023-12-31,SF-Opp: 0060J00000lfzNWQAY | Partner-EU: 113821813 | Region: EU
Partner EU 112653327,Partner EU 112653327,26416.62,100,2024-02-29,SF-Opp: 0066M000011j5MaQAI | Partner-EU: 112653327 | Region: EU
Edel Germany GmbH - Wunderwelt,Edel Germany GmbH - Wunderwelt,236.88,100,2023-12-31,SF-Opp: 0060J00000o2tKTQAY | Partner-EU: 111741861 | Region: EU
Partner EU 7219537,Partner EU 7219537,185.36,100,2023-05-31,SF-Opp: 0062000000lGJJTAA4 | Partner-EU: 7219537 | Region: EU
VDBrands GmbH,VDBrands GmbH,1883.73,100,2024-02-29,SF-Opp: 0060J0000116gNYQAY | Partner-EU: 119387066 | Region: EU
Partner SF 0066M000,Partner SF 0066M000,59303.45,100,2024-02-29,SF-Opp: 0066M00001CKMCpQAP | Region: NA
Partner EU 128305581,Partner EU 128305581,194.90,100,2023-12-31,SF-Opp: 0066M00001Fj1dwQAB | Partner-EU: 128305581 | Region: EU
ZDF Enterprises GmbH,ZDF Enterprises GmbH,7.55,100,2023-06-30,SF-Opp: 0060J00000lfzIbQAI | Partner-EU: 113739089 | Region: EU
bianca de paula A Artistry Flow,bianca de paula A Artistry Flow,,75,2026-03-16 00:00:00,
Elliot Schiro the_dandlion_§hop,Elliot Schiro the_dandlion_§hop,,75,2026-03-16 00:00:00,
